Id,SalePrice
1461,126021.15086192396
1462,144671.12474701533
1463,189554.49398692983
1464,190401.9115026522
1465,177689.11418636612
1466,193034.49999609776
1467,173078.70366848606
1468,179898.67264769017
1469,183074.96888346734
1470,121408.52082831632
1471,203759.74671801715
1472,98977.71235228673
1473,103677.21385729728
1474,148954.67556016523
1475,114568.55657978744
1476,331764.26489402424
1477,247367.47231892124
1478,282803.939409289
1479,275994.27347599505
1480,403959.44657669787
1481,313500.16894028755
1482,202667.4485267549
1483,177446.085290795
1484,175032.40207154278
1485,180457.32843458088
1486,197986.78919922462
1487,292384.4627658743
1488,238817.64233261324
1489,202449.14908294572
1490,219280.08549620744
1491,196014.83824514554
1492,108173.36995051724
1493,185802.94759642988
1494,289154.0098576555
1495,284771.18744272256
1496,227457.46517583233
1497,173461.61276275816
1498,158826.14031822557
1499,156557.48301819718
1500,158755.09635814893
1501,174624.94442153265
1502,151159.5330654678
1503,274876.0308332259
1504,225759.73089520424
1505,216727.94899863703
1506,176507.57946025397
1507,255097.95013170823
1508,176690.78826218465
1509,156077.7055313386
1510,151652.25139757947
1511,146334.0411658231
1512,173753.2786909256
1513,145859.36556628905
1514,168566.2378811509
1515,189410.77288563037
1516,152639.1608544116
1517,150267.41141247808
1518,129291.02336948134
1519,234889.0801667401
1520,135784.86602240487
1521,144788.2805038976
1522,167530.4980289108
1523,110498.65607869173
1524,113413.12966403704
1525,127113.86792061944
1526,124619.6797972593
1527,112935.6157337097
1528,129241.09748398345
1529,142855.61763393707
1530,165781.94636782064
1531,129640.81024062575
1532,106022.8987481437
1533,148278.68292686765
1534,114727.9440832076
1535,144324.9689385029
1536,123341.47214298698
1537,92471.26856865149
1538,148935.74213545385
1539,182446.42299935105
1540,124418.64058980288
1541,144254.20263241403
1542,134259.38714760228
1543,174822.82404005463
1544,98082.13957831461
1545,101102.52987360435
1546,128464.14419115552
1547,141547.7371801571
1548,127201.14992098267
1549,114377.61913910307
1550,142455.16705944212
1551,121857.49659982181
1552,155405.3546364234
1553,140547.00056792938
1554,107287.47206269947
1555,168465.24400503718
1556,101190.00681872567
1557,113757.32291490628
1558,99270.15526371097
1559,119049.81786748565
1560,140175.5217645705
1561,139392.72969140508
1562,125595.81924244706
1563,124252.4238543976
1564,156423.8102219485
1565,158932.79634661324
1566,224615.40885948561
1567,94966.19934042335
1568,212215.0043372127
1569,144308.02971809567
1570,140378.72209751213
1571,125501.02078313322
1572,142055.06753133598
1573,245875.2494929469
1574,129724.36156162864
1575,216141.66487589196
1576,244028.78476268522
1577,200692.61784013372
1578,150958.01838020168
1579,146435.52695866593
1580,192265.29615742873
1581,136917.73177579118
1582,128029.10968160811
1583,324142.2461833299
1584,234214.00169012143
1585,142352.73030950568
1586,80784.480951825
1587,108612.09936431538
1588,136922.25692759803
1589,114853.38805940018
1590,133484.6561650793
1591,102470.78451609888
1592,126729.59255974114
1593,117338.25130095975
1594,122227.9380862473
1595,117509.86915035151
1596,187311.28656052545
1597,171330.03665767302
1598,187896.02614400833
1599,165449.2504054323
1600,175526.09922639356
1601,73434.28016426347
1602,115784.91054938214
1603,104683.44156136995
1604,264446.46105002717
1605,256669.66556211273
1606,163924.93996045348
1607,160352.39882882262
1608,223030.25942549546
1609,195499.00587777462
1610,169859.36969976273
1611,147900.51277053036
1612,179736.2204904743
1613,186348.22911143475
1614,125572.39135682708
1615,92362.8627396368
1616,89941.89986800027
1617,94372.3944799203
1618,122052.6103749185
1619,135600.0686950754
1620,170347.16579730678
1621,143340.05490834764
1622,142308.67203432013
1623,268918.8402287854
1624,226161.3523192829
1625,122635.32415273282
1626,183561.08818396353
1627,192845.48861622385
1628,267486.99414516066
1629,179742.5806844558
1630,294431.17096557876
1631,208502.7030128375
1632,223079.44216972397
1633,173225.27623851504
1634,185680.71500038312
1635,184999.64663433994
1636,169268.50363861947
1637,191980.38494754033
1638,197560.16211290087
1639,186458.14482329786
1640,238859.45727139802
1641,180301.26207041205
1642,209647.66043146863
1643,215388.58087312244
1644,219945.16169390845
1645,187492.18431365973
1646,158387.79249806495
1647,162664.51342754453
1648,140224.02644353884
1649,136225.6991266633
1650,130236.66220923791
